Using 16-bit Automatic Mixed Precision (AMP)
{'model_name': 'pythia-160m', 'name': 'redpajama', 'save_interval': 1000, 'eval_interval': 1000, 'eval_iters': 100, 'log_interval': 100, 'learning_rate': 0.006, 'batch_size': 8, 'micro_batch_size': 4, 'gradient_accumulation_steps': 2, 'max_iters': 15000, 'weight_decay': 0.1, 'beta1': 0.9, 'beta2': 0.95, 'grad_clip': 1.0, 'decay_lr': True, 'warmup_iters': 2000, 'lr_decay_iters': 15000, 'min_lr': 6e-06}
Seed set to 1337
Loading model with {'name': 'pythia-160m', 'hf_config': {'org': 'EleutherAI', 'name': 'pythia-160m-deduped'}, 'block_size': 2048, 'vocab_size': 50254, 'padding_multiple': 128, 'padded_vocab_size': 50304, 'n_layer': 12, 'n_head': 12, 'n_embd': 768, 'rotary_percentage': 0.25, 'parallel_residual': True, 'bias': True, 'lm_head_bias': False, 'n_query_groups': 12, 'shared_attention_norm': False, '_norm_class': 'LayerNorm', 'norm_eps': 1e-05, '_mlp_class': 'GptNeoxMLP', 'gelu_approximate': 'none', 'intermediate_size': 3072, 'rope_condense_ratio': 1, 'rope_base': 10000, 'head_size': 64, 'rope_n_elem': 16}
Time to instantiate model: 0.30 seconds.
Total parameters 162,322,944
Estimated TFLOPs: 11.07
Measured TFLOPs: 7.93
iter 0 step 0: loss 10.9759, LR: 0.000000, iter time: 970.90ms
iter 100 step 50: loss 7.3099, LR: 0.000300, iter time: 149.44ms
iter 200 step 100: loss 5.9818, LR: 0.000600, iter time: 152.11ms
iter 300 step 150: loss 6.5674, LR: 0.000900, iter time: 153.65ms
iter 400 step 200: loss 6.4559, LR: 0.001200, iter time: 153.00ms
iter 500 step 250: loss 5.8150, LR: 0.001500, iter time: 152.60ms
iter 600 step 300: loss 5.8375, LR: 0.001800, iter time: 150.26ms
iter 700 step 350: loss 6.0346, LR: 0.002100, iter time: 150.61ms
iter 800 step 400: loss 5.6895, LR: 0.002400, iter time: 154.05ms
iter 900 step 450: loss 5.3467, LR: 0.002700, iter time: 148.69ms
iter 1000 step 500: loss 5.5199, LR: 0.003000, iter time: 147.75ms
iter 1100 step 550: loss 5.5256, LR: 0.003300, iter time: 147.17ms
iter 1200 step 600: loss 6.2611, LR: 0.003600, iter time: 150.42ms
iter 1300 step 650: loss 5.4748, LR: 0.003900, iter time: 146.21ms
iter 1400 step 700: loss 5.4261, LR: 0.004200, iter time: 147.65ms
iter 1500 step 750: loss 5.2750, LR: 0.004500, iter time: 146.02ms
iter 1600 step 800: loss 4.9024, LR: 0.004800, iter time: 146.80ms
iter 1700 step 850: loss 5.3979, LR: 0.005100, iter time: 146.44ms
iter 1800 step 900: loss 5.7637, LR: 0.005400, iter time: 144.87ms
iter 1900 step 950: loss 5.4498, LR: 0.005700, iter time: 145.10ms
Saving checkpoint to 'out/redpajama/iter-001999-ckpt.pth'
iter 2000 step 1000: loss 5.2741, LR: 0.006000, iter time: 169.19ms
iter 2100 step 1050: loss 5.4275, LR: 0.005999, iter time: 143.74ms
iter 2200 step 1100: loss 5.3399, LR: 0.005997, iter time: 146.02ms
iter 2300 step 1150: loss 5.7130, LR: 0.005992, iter time: 143.76ms
iter 2400 step 1200: loss 5.3070, LR: 0.005986, iter time: 144.70ms
iter 2500 step 1250: loss 5.5494, LR: 0.005978, iter time: 143.71ms
iter 2600 step 1300: loss 5.5811, LR: 0.005969, iter time: 138.07ms
